date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
27032021|27|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
26032021|26|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
25032021|25|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
24032021|24|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
23032021|23|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
22032021|22|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
21032021|21|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||110||217000|2864.6|76|17|175|17
20032021|20|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||109|1|217000|2864.6|76|17|175|17
19032021|19|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|110||109|1|217000|2864.6|76|17|175|17
18032021|18|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|109||109||217000|2864.6|76|17|175|17
17032021|17|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||108||217000|2864.6|76|17|175|17
16032021|16|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||108||217000|2864.6|76|17|175|17
15032021|15|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||108||217000|2864.6|76|17|175|17
14032021|14|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||104|4|217000|2864.6|76|17|175|17
13032021|13|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||102|6|217000|2864.6|76|17|175|17
12032021|12|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||102|6|217000|2864.6|76|17|175|17
11032021|11|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||101|7|217000|2864.6|76|17|175|17
10032021|10|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|108||101|7|217000|2864.6|76|17|175|17
09032021|09|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
08032021|08|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
07032021|07|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
06032021|06|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
05032021|05|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
04032021|04|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
03032021|03|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
02032021|02|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
01032021|01|03|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
28022021|28|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|107||100|7|217000|2864.6|76|17|175|17
27022021|27|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|105||100|5|217000|2864.6|76|17|175|17
26022021|26|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|105||84|21|217000|2864.6|76|17|175|17
25022021|25|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|105||84|21|217000|2864.6|76|17|175|17
24022021|24|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|105||82|23|217000|2864.6|76|17|175|17
23022021|23|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|105||80|25|217000|2864.6|76|17|175|17
22022021|22|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||77|26|217000|2864.6|76|17|175|17
21022021|21|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||72|31|217000|2864.6|76|17|175|17
20022021|20|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||68|35|217000|2864.6|76|17|175|17
19022021|19|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||65|38|217000|2864.6|76|17|175|17
18022021|18|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||63|40|217000|2864.6|76|17|175|17
17022021|17|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||60|43|217000|2864.6|76|17|175|17
16022021|16|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||57|46|217000|2864.6|76|17|175|17
15022021|15|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|103||53|50|217000|2864.6|76|17|175|17
14022021|14|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|95||50|45|217000|2864.6|76|17|175|17
13022021|13|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|95||47|48|217000|2864.6|76|17|175|17
12022021|12|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|95||43|52|217000|2864.6|76|17|175|17
11022021|11|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|95||42|53|217000|2864.6|76|17|175|17
10022021|10|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|92||40|52|217000|2864.6|76|17|175|17
09022021|09|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|92||39|53|217000|2864.6|76|17|175|17
08022021|08|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|92||38|54|217000|2864.6|76|17|175|17
07022021|07|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|92||37|55|217000|2864.6|76|17|175|17
06022021|06|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|92||36|56|217000|2864.6|76|17|175|17
05022021|05|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|92||34|58|217000|2864.6|76|17|175|17
04022021|04|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|91||32|59|217000|2864.6|76|17|175|17
03022021|03|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|91||31|60|217000|2864.6|76|17|175|17
02022021|02|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|90||30|60|217000|2864.6|76|17|175|17
01022021|01|02|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|90||28|62|217000|2864.6|76|17|175|17
31012021|31|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|88||27|61|217000|2864.6|76|17|175|17
30012021|30|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|88||25|63|217000|2864.6|76|17|175|17
29012021|29|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|88||25|63|217000|2864.6|76|17|175|17
28012021|28|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|67||24|43|217000|2864.6|76|17|175|17
27012021|27|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|67||24|43|217000|2864.6|76|17|175|17
26012021|26|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|67||24|43|217000|2864.6|76|17|175|17
25012021|25|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|67||23|44|217000|2864.6|76|17|175|17
24012021|24|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|67||22|45|217000|2864.6|76|17|175|17
23012021|23|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|67||21|46|217000|2864.6|76|17|175|17
22012021|22|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|65||20|45|217000|2864.6|76|17|175|17
21012021|21|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|52||19|33|217000|2864.6|76|17|175|17
20012021|20|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|52||19|33|217000|2864.6|76|17|175|17
19012021|19|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|48||18|30|217000|2864.6|76|17|175|17
18012021|18|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|48||18|30|217000|2864.6|76|17|175|17
17012021|17|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|48||18|30|217000|2864.6|76|17|175|17
16012021|16|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||17|23|217000|2864.6|76|17|175|17
15012021|15|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||17|23|217000|2864.6|76|17|175|17
14012021|14|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||17|23|217000|2864.6|76|17|175|17
13012021|13|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||17|23|217000|2864.6|76|17|175|17
12012021|12|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||17|23|217000|2864.6|76|17|175|17
11012021|11|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||17|23|217000|2864.6|76|17|175|17
10012021|10|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||16|24|217000|2864.6|76|17|175|17
09012021|09|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||16|24|217000|2864.6|76|17|175|17
08012021|08|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||16|24|217000|2864.6|76|17|175|17
07012021|07|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|40||15|25|217000|2864.6|76|17|175|17
06012021|06|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|20||14|6|217000|2864.6|76|17|175|17
05012021|05|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|20||14|6|217000|2864.6|76|17|175|17
04012021|04|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|20||14|6|217000|2864.6|76|17|175|17
03012021|03|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|18||14|4|217000|2864.6|76|17|175|17
02012021|02|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|18||13|5|217000|2864.6|76|17|175|17
01012021|01|01|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|18||13|5|217000|2864.6|76|17|175|17
31122020|31|12|2020|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|18||13|5|217000|2864.6|76|17|175|17
30122020|30|12|2020|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|16||13|3|217000|2864.6|76|17|175|17
29122020|29|12|2020|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|16||12|4|217000|2864.6|76|17|175|17
